date,nhse,existing,private,DHSC,private_stacked,dhsc_stacked
16/03/2020,0,9100,1200,0,10300,10300
23/03/2020,1578,9100,1200,400,10300,10700
30/03/2020,6842,9100,1200,400,10300,10700
06/04/2020,17189,9100,1200,400,10300,10700
13/04/2020,17520,9100,1200,400,10300,10700
20/04/2020,14206,9100,1200,400,10300,10700
27/04/2020,11870,9100,1200,400,10300,10700
04/05/2020,12140,9100,1200,400,10300,10700
11/05/2020,13219,9100,1200,400,10300,10700
18/05/2020,14298,9100,1200,400,10300,10700
25/05/2020,15107,9100,1200,400,10300,10700
01/06/2020,15431,9100,1200,400,10300,10700
08/06/2020,15430,9100,1200,400,10300,10700
15/06/2020,14892,9100,1200,400,10300,10700
